,Total personal income (weekly) Negative/Nil income,$1-$149,$150-$299,$300-$399,$400-$499,$500-$649,$650-$799,$800-$999,"$1,000-$1,249","$1,250-$1,499","$1,500-$1,749","$1,750-$1,999","$2,000-$2,999","$3,000-$3,499","$3,500 or more",Not stated,Sex Total(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancer (including remission),46982,19782,41285,107482,109476,75955,54896,49416,49675,33693,29510,21903,36965,9107,19799,21965,727885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dementia (including Alzheimer’s),14810,4126,9892,30460,49310,16930,8999,5985,3754,1952,1707,921,1151,379,1243,37247,188857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes (excluding gestational diabetes),93487,29391,73750,191717,181520,115582,82090,78688,81462,55754,47593,33238,54459,12516,22676,37481,1191393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart disease (including heart attack or angina),60824,24420,60235,169163,176287,107088,71504,60763,59136,38498,32748,22337,36948,9599,21744,39748,991024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidney disease,15712,5809,14266,40352,44352,24576,15039,12568,11749,7674,6716,4531,7566,1831,3969,10513,227223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung condition (including COPD or emphysema)(d),25382,10384,29392,83637,94779,53938,30046,24102,21464,12609,10268,6218,9117,2225,4708,17092,435362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental health condition (including depression or anxiety),177687,72128,148476,239713,260842,210734,159317,166513,173939,125502,103797,73265,113940,21024,33729,52402,2133007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke,17104,6091,15292,44067,48436,25779,15222,11967,10512,6431,5365,3550,5262,1398,3194,13648,233305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other long-term health condition(s)(e),157242,62335,116966,219141,242153,171707,123818,126967,135585,102757,89582,66504,114899,24625,44845,54660,1853788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No long-term health condition(s),1166803,424443,522292,628548,613045,765767,844476,1067816,1216673,927834,818463,610292,1074402,255261,457309,182131,11575568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not stated,61669,23132,33252,49069,46101,44428,45234,52068,55602,40341,35124,25108,40471,9448,17930,1109165,1688151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total persons(c),1816370,679812,1005072,1573594,1581612,1511161,1438936,1680606,1866801,1402863,1229021,908593,1575067,366363,662715,1486211,20784787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
